,duration,pdays,previous,poutcome,emp.var.rate,euribor3m,nr.employed,y
64,357,999,0,nonexistent,1.1,4.857,5191.0,no
65,232,999,0,nonexistent,1.1,4.857,5191.0,no
66,91,999,0,nonexistent,1.1,4.857,5191.0,no
67,273,999,0,nonexistent,1.1,4.857,5191.0,no
68,158,999,0,nonexistent,1.1,4.857,5191.0,no
69,177,999,0,nonexistent,1.1,4.857,5191.0,no
70,200,999,0,nonexistent,1.1,4.857,5191.0,no
71,172,999,0,nonexistent,1.1,4.857,5191.0,no
72,176,999,0,nonexistent,1.1,4.857,5191.0,no
73,211,999,0,nonexistent,1.1,4.857,5191.0,no
74,214,999,0,nonexistent,1.1,4.857,5191.0,no
75,1575,999,0,nonexistent,1.1,4.857,5191.0,yes
76,349,999,0,nonexistent,1.1,4.857,5191.0,no
77,337,999,0,nonexistent,1.1,4.857,5191.0,no
78,272,999,0,nonexistent,1.1,4.857,5191.0,no
79,208,999,0,nonexistent,1.1,4.857,5191.0,no
80,193,999,0,nonexistent,1.1,4.857,5191.0,no
81,212,999,0,nonexistent,1.1,4.857,5191.0,no
82,165,999,0,nonexistent,1.1,4.857,5191.0,no
83,1042,999,0,nonexistent,1.1,4.857,5191.0,yes
84,20,999,0,nonexistent,1.1,4.857,5191.0,no
85,246,999,0,nonexistent,1.1,4.857,5191.0,no
86,529,999,0,nonexistent,1.1,4.857,5191.0,no
87,192,999,0,nonexistent,1.1,4.857,5191.0,no
88,1467,999,0,nonexistent,1.1,4.857,5191.0,yes
89,188,999,0,nonexistent,1.1,4.857,5191.0,no
90,180,999,0,nonexistent,1.1,4.857,5191.0,no
91,48,999,0,nonexistent,1.1,4.857,5191.0,no
92,213,999,0,nonexistent,1.1,4.857,5191.0,no
93,545,999,0,nonexistent,1.1,4.857,5191.0,no
94,583,999,0,nonexistent,1.1,4.857,5191.0,no
95,221,999,0,nonexistent,1.1,4.857,5191.0,no
96,426,999,0,nonexistent,1.1,4.857,5191.0,no
97,287,999,0,nonexistent,1.1,4.857,5191.0,no
98,197,999,0,nonexistent,1.1,4.857,5191.0,no
99,257,999,0,nonexistent,1.1,4.857,5191.0,no
100,229,999,0,nonexistent,1.1,4.857,5191.0,no
101,55,999,0,nonexistent,1.1,4.857,5191.0,no
102,400,999,0,nonexistent,1.1,4.857,5191.0,no
103,197,999,0,nonexistent,1.1,4.857,5191.0,no
104,190,999,0,nonexistent,1.1,4.857,5191.0,no
105,21,999,0,nonexistent,1.1,4.857,5191.0,no
106,300,999,0,nonexistent,1.1,4.857,5191.0,no
107,123,999,0,nonexistent,1.1,4.857,5191.0,no
108,293,999,0,nonexistent,1.1,4.857,5191.0,no
109,325,999,0,nonexistent,1.1,4.857,5191.0,no
110,514,999,0,nonexistent,1.1,4.857,5191.0,no
111,849,999,0,nonexistent,1.1,4.857,5191.0,no
112,194,999,0,nonexistent,1.1,4.857,5191.0,no
113,212,999,0,nonexistent,1.1,4.857,5191.0,no
114,337,999,0,nonexistent,1.1,4.857,5191.0,no
115,286,999,0,nonexistent,1.1,4.857,5191.0,no
116,247,999,0,nonexistent,1.1,4.857,5191.0,no
117,518,999,0,nonexistent,1.1,4.857,5191.0,no
118,364,999,0,nonexistent,1.1,4.857,5191.0,no
119,178,999,0,nonexistent,1.1,4.857,5191.0,no
120,98,999,0,nonexistent,1.1,4.857,5191.0,no
121,439,999,0,nonexistent,1.1,4.857,5191.0,no
122,139,999,0,nonexistent,1.1,4.857,5191.0,no
123,79,999,0,nonexistent,1.1,4.857,5191.0,no
124,175,999,0,nonexistent,1.1,4.857,5191.0,no
125,262,999,0,nonexistent,1.1,4.857,5191.0,no
126,61,999,0,nonexistent,1.1,4.857,5191.0,no
127,78,999,0,nonexistent,1.1,4.857,5191.0,no
128,102,999,0,nonexistent,1.1,4.857,5191.0,no
129,579,999,0,nonexistent,1.1,4.857,5191.0,yes
130,143,999,0,nonexistent,1.1,4.857,5191.0,no
131,677,999,0,nonexistent,1.1,4.857,5191.0,no
132,267,999,0,nonexistent,1.1,4.857,5191.0,no
133,345,999,0,nonexistent,1.1,4.857,5191.0,no
134,185,999,0,nonexistent,1.1,4.857,5191.0,no
135,207,999,0,nonexistent,1.1,4.857,5191.0,no
136,69,999,0,nonexistent,1.1,4.857,5191.0,no
137,100,999,0,nonexistent,1.1,4.857,5191.0,no
138,125,999,0,nonexistent,1.1,4.857,5191.0,no
139,461,999,0,nonexistent,1.1,4.857,5191.0,yes
140,240,999,0,nonexistent,1.1,4.857,5191.0,no
141,70,999,0,nonexistent,1.1,4.857,5191.0,no
142,193,999,0,nonexistent,1.1,4.857,5191.0,no
143,136,999,0,nonexistent,1.1,4.857,5191.0,no
144,73,999,0,nonexistent,1.1,4.857,5191.0,no
145,528,999,0,nonexistent,1.1,4.857,5191.0,no
146,541,999,0,nonexistent,1.1,4.857,5191.0,no
147,338,999,0,nonexistent,1.1,4.857,5191.0,no
148,163,999,0,nonexistent,1.1,4.857,5191.0,no
149,87,999,0,nonexistent,1.1,4.857,5191.0,no
150,301,999,0,nonexistent,1.1,4.857,5191.0,no
151,46,999,0,nonexistent,1.1,4.857,5191.0,no
152,52,999,0,nonexistent,1.1,4.857,5191.0,no
153,204,999,0,nonexistent,1.1,4.857,5191.0,no
154,155,999,0,nonexistent,1.1,4.857,5191.0,no
155,98,999,0,nonexistent,1.1,4.857,5191.0,no
156,71,999,0,nonexistent,1.1,4.857,5191.0,no
157,243,999,0,nonexistent,1.1,4.857,5191.0,no
158,186,999,0,nonexistent,1.1,4.857,5191.0,no
159,579,999,0,nonexistent,1.1,4.857,5191.0,no
160,165,999,0,nonexistent,1.1,4.857,5191.0,no
161,163,999,0,nonexistent,1.1,4.857,5191.0,no
162,46,999,0,nonexistent,1.1,4.857,5191.0,no
163,559,999,0,nonexistent,1.1,4.857,5191.0,no
164,2033,999,0,nonexistent,1.1,4.857,5191.0,no
165,85,999,0,nonexistent,1.1,4.857,5191.0,no
166,506,999,0,nonexistent,1.1,4.857,5191.0,no
167,114,999,0,nonexistent,1.1,4.857,5191.0,no
168,114,999,0,nonexistent,1.1,4.857,5191.0,no
169,843,999,0,nonexistent,1.1,4.857,5191.0,no
170,181,999,0,nonexistent,1.1,4.857,5191.0,no
171,427,999,0,nonexistent,1.1,4.857,5191.0,no
172,292,999,0,nonexistent,1.1,4.857,5191.0,no
173,192,999,0,nonexistent,1.1,4.857,5191.0,no
174,93,999,0,nonexistent,1.1,4.857,5191.0,no
175,128,999,0,nonexistent,1.1,4.857,5191.0,no
176,107,999,0,nonexistent,1.1,4.857,5191.0,no
177,303,999,0,nonexistent,1.1,4.857,5191.0,no
178,81,999,0,nonexistent,1.1,4.857,5191.0,no
179,270,999,0,nonexistent,1.1,4.857,5191.0,no
180,228,999,0,nonexistent,1.1,4.857,5191.0,no
181,240,999,0,nonexistent,1.1,4.857,5191.0,no
182,673,999,0,nonexistent,1.1,4.857,5191.0,yes
183,233,999,0,nonexistent,1.1,4.857,5191.0,no
184,102,999,0,nonexistent,1.1,4.857,5191.0,no
185,461,999,0,nonexistent,1.1,4.857,5191.0,no
186,250,999,0,nonexistent,1.1,4.857,5191.0,no
187,130,999,0,nonexistent,1.1,4.857,5191.0,no
188,252,999,0,nonexistent,1.1,4.857,5191.0,no
189,138,999,0,nonexistent,1.1,4.857,5191.0,no
190,412,999,0,nonexistent,1.1,4.857,5191.0,no
191,179,999,0,nonexistent,1.1,4.857,5191.0,no
192,19,999,0,nonexistent,1.1,4.857,5191.0,no
193,228,999,0,nonexistent,1.1,4.857,5191.0,no
194,55,999,0,nonexistent,1.1,4.857,5191.0,no
195,717,999,0,nonexistent,1.1,4.857,5191.0,no
196,313,999,0,nonexistent,1.1,4.857,5191.0,no
197,289,999,0,nonexistent,1.1,4.857,5191.0,no
198,683,999,0,nonexistent,1.1,4.857,5191.0,no
199,1077,999,0,nonexistent,1.1,4.857,5191.0,no
200,146,999,0,nonexistent,1.1,4.857,5191.0,no
201,167,999,0,nonexistent,1.1,4.857,5191.0,no
202,356,999,0,nonexistent,1.1,4.857,5191.0,no
203,277,999,0,nonexistent,1.1,4.857,5191.0,no
204,172,999,0,nonexistent,1.1,4.857,5191.0,no
205,218,999,0,nonexistent,1.1,4.857,5191.0,no
206,217,999,0,nonexistent,1.1,4.857,5191.0,no
207,67,999,0,nonexistent,1.1,4.857,5191.0,no
208,291,999,0,nonexistent,1.1,4.857,5191.0,no
209,248,999,0,nonexistent,1.1,4.857,5191.0,no
210,256,999,0,nonexistent,1.1,4.857,5191.0,no
211,286,999,0,nonexistent,1.1,4.857,5191.0,no
212,477,999,0,nonexistent,1.1,4.857,5191.0,no
213,611,999,0,nonexistent,1.1,4.857,5191.0,no
214,471,999,0,nonexistent,1.1,4.857,5191.0,no
215,381,999,0,nonexistent,1.1,4.857,5191.0,no
216,251,999,0,nonexistent,1.1,4.857,5191.0,no
217,408,999,0,nonexistent,1.1,4.857,5191.0,no
218,287,999,0,nonexistent,1.1,4.857,5191.0,no
219,322,999,0,nonexistent,1.1,4.857,5191.0,no
220,216,999,0,nonexistent,1.1,4.857,5191.0,no
221,366,999,0,nonexistent,1.1,4.857,5191.0,no
222,210,999,0,nonexistent,1.1,4.857,5191.0,no
223,288,999,0,nonexistent,1.1,4.857,5191.0,no
224,168,999,0,nonexistent,1.1,4.857,5191.0,no
225,132,999,0,nonexistent,1.1,4.857,5191.0,no
226,64,999,0,nonexistent,1.1,4.857,5191.0,no
227,209,999,0,nonexistent,1.1,4.857,5191.0,no
228,410,999,0,nonexistent,1.1,4.857,5191.0,no
229,177,999,0,nonexistent,1.1,4.857,5191.0,no
230,580,999,0,nonexistent,1.1,4.857,5191.0,no
231,165,999,0,nonexistent,1.1,4.857,5191.0,no
232,127,999,0,nonexistent,1.1,4.857,5191.0,no
233,357,999,0,nonexistent,1.1,4.857,5191.0,no
234,175,999,0,nonexistent,1.1,4.857,5191.0,no
235,300,999,0,nonexistent,1.1,4.857,5191.0,no
236,136,999,0,nonexistent,1.1,4.857,5191.0,no
237,125,999,0,nonexistent,1.1,4.857,5191.0,no
238,189,999,0,nonexistent,1.1,4.857,5191.0,no
239,213,999,0,nonexistent,1.1,4.857,5191.0,no
240,238,999,0,nonexistent,1.1,4.857,5191.0,no
241,124,999,0,nonexistent,1.1,4.857,5191.0,no
242,18,999,0,nonexistent,1.1,4.857,5191.0,no
243,730,999,0,nonexistent,1.1,4.857,5191.0,no
244,40,999,0,nonexistent,1.1,4.857,5191.0,no
245,181,999,0,nonexistent,1.1,4.857,5191.0,no
246,79,999,0,nonexistent,1.1,4.857,5191.0,no
247,142,999,0,nonexistent,1.1,4.857,5191.0,no
248,389,999,0,nonexistent,1.1,4.857,5191.0,no
249,702,999,0,nonexistent,1.1,4.857,5191.0,no
250,151,999,0,nonexistent,1.1,4.857,5191.0,no
251,211,999,0,nonexistent,1.1,4.857,5191.0,no
252,117,999,0,nonexistent,1.1,4.857,5191.0,no
253,232,999,0,nonexistent,1.1,4.857,5191.0,no
254,408,999,0,nonexistent,1.1,4.857,5191.0,no
255,370,999,0,nonexistent,1.1,4.857,5191.0,no
256,179,999,0,nonexistent,1.1,4.857,5191.0,no
257,46,999,0,nonexistent,1.1,4.857,5191.0,no
258,200,999,0,nonexistent,1.1,4.857,5191.0,no
259,50,999,0,nonexistent,1.1,4.857,5191.0,no
260,181,999,0,nonexistent,1.1,4.857,5191.0,no
261,119,999,0,nonexistent,1.1,4.857,5191.0,no
262,361,999,0,nonexistent,1.1,4.857,5191.0,no
263,73,999,0,nonexistent,1.1,4.857,5191.0,no
264,67,999,0,nonexistent,1.1,4.857,5191.0,no
265,350,999,0,nonexistent,1.1,4.857,5191.0,no
266,150,999,0,nonexistent,1.1,4.857,5191.0,no
267,332,999,0,nonexistent,1.1,4.857,5191.0,no
268,611,999,0,nonexistent,1.1,4.857,5191.0,no
269,58,999,0,nonexistent,1.1,4.857,5191.0,no
270,151,999,0,nonexistent,1.1,4.857,5191.0,no
271,89,999,0,nonexistent,1.1,4.857,5191.0,no
272,152,999,0,nonexistent,1.1,4.857,5191.0,no
273,611,999,0,nonexistent,1.1,4.857,5191.0,no
274,110,999,0,nonexistent,1.1,4.857,5191.0,no
275,463,999,0,nonexistent,1.1,4.857,5191.0,no
276,962,999,0,nonexistent,1.1,4.857,5191.0,no
277,102,999,0,nonexistent,1.1,4.857,5191.0,no
278,10,999,0,nonexistent,1.1,4.857,5191.0,no
279,118,999,0,nonexistent,1.1,4.857,5191.0,no
280,92,999,0,nonexistent,1.1,4.857,5191.0,no
281,143,999,0,nonexistent,1.1,4.857,5191.0,no
282,189,999,0,nonexistent,1.1,4.857,5191.0,no
283,75,999,0,nonexistent,1.1,4.857,5191.0,no
284,189,999,0,nonexistent,1.1,4.857,5191.0,no
285,55,999,0,nonexistent,1.1,4.857,5191.0,no
286,935,999,0,nonexistent,1.1,4.857,5191.0,yes
287,56,999,0,nonexistent,1.1,4.857,5191.0,no
288,5,999,0,nonexistent,1.1,4.857,5191.0,no
289,225,999,0,nonexistent,1.1,4.857,5191.0,no
290,125,999,0,nonexistent,1.1,4.857,5191.0,no
291,286,999,0,nonexistent,1.1,4.857,5191.0,no
292,206,999,0,nonexistent,1.1,4.857,5191.0,no
293,164,999,0,nonexistent,1.1,4.857,5191.0,no
294,98,999,0,nonexistent,1.1,4.857,5191.0,no
295,446,999,0,nonexistent,1.1,4.857,5191.0,no
296,742,999,0,nonexistent,1.1,4.857,5191.0,no
297,120,999,0,nonexistent,1.1,4.857,5191.0,no
298,122,999,0,nonexistent,1.1,4.857,5191.0,no
299,362,999,0,nonexistent,1.1,4.857,5191.0,no
300,357,999,0,nonexistent,1.1,4.857,5191.0,no
301,200,999,0,nonexistent,1.1,4.857,5191.0,no
302,107,999,0,nonexistent,1.1,4.857,5191.0,no
303,267,999,0,nonexistent,1.1,4.857,5191.0,no
304,248,999,0,nonexistent,1.1,4.857,5191.0,no
305,215,999,0,nonexistent,1.1,4.857,5191.0,no
306,209,999,0,nonexistent,1.1,4.857,5191.0,no
307,205,999,0,nonexistent,1.1,4.857,5191.0,no
308,261,999,0,nonexistent,1.1,4.857,5191.0,no
309,83,999,0,nonexistent,1.1,4.857,5191.0,no
310,106,999,0,nonexistent,1.1,4.857,5191.0,no
311,106,999,0,nonexistent,1.1,4.857,5191.0,no
312,108,999,0,nonexistent,1.1,4.857,5191.0,no
313,214,999,0,nonexistent,1.1,4.857,5191.0,no
314,358,999,0,nonexistent,1.1,4.857,5191.0,no
315,453,999,0,nonexistent,1.1,4.857,5191.0,no
316,364,999,0,nonexistent,1.1,4.857,5191.0,no
317,136,999,0,nonexistent,1.1,4.857,5191.0,no
318,173,999,0,nonexistent,1.1,4.857,5191.0,no
319,241,999,0,nonexistent,1.1,4.857,5191.0,no
320,224,999,0,nonexistent,1.1,4.857,5191.0,no
321,148,999,0,nonexistent,1.1,4.857,5191.0,no
322,230,999,0,nonexistent,1.1,4.857,5191.0,no
323,199,999,0,nonexistent,1.1,4.857,5191.0,no
324,196,999,0,nonexistent,1.1,4.857,5191.0,no
325,111,999,0,nonexistent,1.1,4.857,5191.0,no
326,231,999,0,nonexistent,1.1,4.857,5191.0,no
327,316,999,0,nonexistent,1.1,4.857,5191.0,no
328,240,999,0,nonexistent,1.1,4.857,5191.0,no
329,669,999,0,nonexistent,1.1,4.857,5191.0,no
330,425,999,0,nonexistent,1.1,4.857,5191.0,no
331,121,999,0,nonexistent,1.1,4.857,5191.0,no
332,174,999,0,nonexistent,1.1,4.857,5191.0,no
333,88,999,0,nonexistent,1.1,4.857,5191.0,no
334,313,999,0,nonexistent,1.1,4.857,5191.0,no
335,135,999,0,nonexistent,1.1,4.857,5191.0,no
336,152,999,0,nonexistent,1.1,4.857,5191.0,no
337,402,999,0,nonexistent,1.1,4.857,5191.0,no
338,221,999,0,nonexistent,1.1,4.857,5191.0,no
339,213,999,0,nonexistent,1.1,4.857,5191.0,no
340,144,999,0,nonexistent,1.1,4.857,5191.0,no
341,158,999,0,nonexistent,1.1,4.857,5191.0,no
342,220,999,0,nonexistent,1.1,4.857,5191.0,no
343,325,999,0,nonexistent,1.1,4.857,5191.0,no
344,254,999,0,nonexistent,1.1,4.857,5191.0,no
345,503,999,0,nonexistent,1.1,4.857,5191.0,no
346,680,999,0,nonexistent,1.1,4.857,5191.0,no
347,421,999,0,nonexistent,1.1,4.857,5191.0,no
348,130,999,0,nonexistent,1.1,4.857,5191.0,no
349,164,999,0,nonexistent,1.1,4.857,5191.0,no
350,174,999,0,nonexistent,1.1,4.857,5191.0,no
351,113,999,0,nonexistent,1.1,4.857,5191.0,no
352,195,999,0,nonexistent,1.1,4.857,5191.0,no
353,347,999,0,nonexistent,1.1,4.857,5191.0,no
354,208,999,0,nonexistent,1.1,4.857,5191.0,no
355,404,999,0,nonexistent,1.1,4.857,5191.0,no
356,396,999,0,nonexistent,1.1,4.857,5191.0,no
357,98,999,0,nonexistent,1.1,4.857,5191.0,no
358,229,999,0,nonexistent,1.1,4.857,5191.0,no
359,350,999,0,nonexistent,1.1,4.857,5191.0,no
360,88,999,0,nonexistent,1.1,4.857,5191.0,no
361,379,999,0,nonexistent,1.1,4.857,5191.0,no
362,168,999,0,nonexistent,1.1,4.857,5191.0,no
363,190,999,0,nonexistent,1.1,4.857,5191.0,no
364,158,999,0,nonexistent,1.1,4.857,5191.0,no
365,210,999,0,nonexistent,1.1,4.857,5191.0,no
366,102,999,0,nonexistent,1.1,4.857,5191.0,no
367,306,999,0,nonexistent,1.1,4.857,5191.0,no
368,64,999,0,nonexistent,1.1,4.857,5191.0,no
369,218,999,0,nonexistent,1.1,4.857,5191.0,no
370,77,999,0,nonexistent,1.1,4.857,5191.0,no
371,54,999,0,nonexistent,1.1,4.857,5191.0,no
372,344,999,0,nonexistent,1.1,4.857,5191.0,no
373,195,999,0,nonexistent,1.1,4.857,5191.0,no
374,202,999,0,nonexistent,1.1,4.857,5191.0,no
375,286,999,0,nonexistent,1.1,4.857,5191.0,no
376,278,999,0,nonexistent,1.1,4.857,5191.0,no
377,189,999,0,nonexistent,1.1,4.857,5191.0,no
378,83,999,0,nonexistent,1.1,4.857,5191.0,no
379,18,999,0,nonexistent,1.1,4.857,5191.0,no
380,184,999,0,nonexistent,1.1,4.857,5191.0,no
381,235,999,0,nonexistent,1.1,4.857,5191.0,no
382,290,999,0,nonexistent,1.1,4.857,5191.0,no
383,133,999,0,nonexistent,1.1,4.857,5191.0,no
384,318,999,0,nonexistent,1.1,4.857,5191.0,no
385,437,999,0,nonexistent,1.1,4.857,5191.0,no
386,402,999,0,nonexistent,1.1,4.857,5191.0,no
387,501,999,0,nonexistent,1.1,4.857,5191.0,no
388,1201,999,0,nonexistent,1.1,4.857,5191.0,yes
389,1030,999,0,nonexistent,1.1,4.857,5191.0,yes
390,253,999,0,nonexistent,1.1,4.857,5191.0,no
391,149,999,0,nonexistent,1.1,4.857,5191.0,no
392,144,999,0,nonexistent,1.1,4.857,5191.0,no
393,69,999,0,nonexistent,1.1,4.857,5191.0,no
394,243,999,0,nonexistent,1.1,4.857,5191.0,no
395,769,999,0,nonexistent,1.1,4.857,5191.0,no
396,135,999,0,nonexistent,1.1,4.857,5191.0,no
397,231,999,0,nonexistent,1.1,4.857,5191.0,no
398,442,999,0,nonexistent,1.1,4.857,5191.0,no
399,199,999,0,nonexistent,1.1,4.857,5191.0,no
400,455,999,0,nonexistent,1.1,4.857,5191.0,no
401,152,999,0,nonexistent,1.1,4.857,5191.0,no
402,124,999,0,nonexistent,1.1,4.857,5191.0,no
403,424,999,0,nonexistent,1.1,4.857,5191.0,no
404,43,999,0,nonexistent,1.1,4.857,5191.0,no
405,154,999,0,nonexistent,1.1,4.857,5191.0,no
406,393,999,0,nonexistent,1.1,4.857,5191.0,no
407,203,999,0,nonexistent,1.1,4.857,5191.0,no
408,140,999,0,nonexistent,1.1,4.857,5191.0,no
409,326,999,0,nonexistent,1.1,4.857,5191.0,no
410,483,999,0,nonexistent,1.1,4.857,5191.0,no
411,259,999,0,nonexistent,1.1,4.857,5191.0,no
412,227,999,0,nonexistent,1.1,4.857,5191.0,no
413,673,999,0,nonexistent,1.1,4.857,5191.0,no
414,576,999,0,nonexistent,1.1,4.857,5191.0,no
415,180,999,0,nonexistent,1.1,4.857,5191.0,no
416,90,999,0,nonexistent,1.1,4.857,5191.0,no
417,505,999,0,nonexistent,1.1,4.857,5191.0,no
418,245,999,0,nonexistent,1.1,4.857,5191.0,no
419,186,999,0,nonexistent,1.1,4.857,5191.0,no
420,208,999,0,nonexistent,1.1,4.857,5191.0,no
421,623,999,0,nonexistent,1.1,4.857,5191.0,no
422,180,999,0,nonexistent,1.1,4.857,5191.0,no
423,496,999,0,nonexistent,1.1,4.857,5191.0,no
424,118,999,0,nonexistent,1.1,4.857,5191.0,no
425,102,999,0,nonexistent,1.1,4.857,5191.0,no
426,342,999,0,nonexistent,1.1,4.857,5191.0,no
427,225,999,0,nonexistent,1.1,4.857,5191.0,no
428,185,999,0,nonexistent,1.1,4.857,5191.0,no
429,276,999,0,nonexistent,1.1,4.857,5191.0,no
430,87,999,0,nonexistent,1.1,4.857,5191.0,no
431,744,999,0,nonexistent,1.1,4.857,5191.0,no
432,262,999,0,nonexistent,1.1,4.857,5191.0,no
433,271,999,0,nonexistent,1.1,4.857,5191.0,no
434,141,999,0,nonexistent,1.1,4.857,5191.0,no
435,198,999,0,nonexistent,1.1,4.857,5191.0,no
436,150,999,0,nonexistent,1.1,4.857,5191.0,no
437,241,999,0,nonexistent,1.1,4.857,5191.0,no
438,196,999,0,nonexistent,1.1,4.857,5191.0,no
439,149,999,0,nonexistent,1.1,4.857,5191.0,no
440,264,999,0,nonexistent,1.1,4.857,5191.0,no
441,246,999,0,nonexistent,1.1,4.857,5191.0,no
442,309,999,0,nonexistent,1.1,4.857,5191.0,no
443,140,999,0,nonexistent,1.1,4.857,5191.0,no
444,175,999,0,nonexistent,1.1,4.857,5191.0,no
445,136,999,0,nonexistent,1.1,4.857,5191.0,no
446,1623,999,0,nonexistent,1.1,4.857,5191.0,yes
447,50,999,0,nonexistent,1.1,4.857,5191.0,no
448,101,999,0,nonexistent,1.1,4.857,5191.0,no
449,144,999,0,nonexistent,1.1,4.857,5191.0,no
450,238,999,0,nonexistent,1.1,4.857,5191.0,no
451,354,999,0,nonexistent,1.1,4.857,5191.0,no
452,451,999,0,nonexistent,1.1,4.857,5191.0,no
453,159,999,0,nonexistent,1.1,4.857,5191.0,no
454,170,999,0,nonexistent,1.1,4.857,5191.0,no
455,243,999,0,nonexistent,1.1,4.857,5191.0,no
456,141,999,0,nonexistent,1.1,4.857,5191.0,no
457,112,999,0,nonexistent,1.1,4.857,5191.0,no
458,262,999,0,nonexistent,1.1,4.857,5191.0,no
459,53,999,0,nonexistent,1.1,4.857,5191.0,no
460,134,999,0,nonexistent,1.1,4.857,5191.0,no
461,204,999,0,nonexistent,1.1,4.857,5191.0,no
462,678,999,0,nonexistent,1.1,4.857,5191.0,no
463,182,999,0,nonexistent,1.1,4.857,5191.0,no
464,162,999,0,nonexistent,1.1,4.857,5191.0,no
465,177,999,0,nonexistent,1.1,4.857,5191.0,no
466,27,999,0,nonexistent,1.1,4.857,5191.0,no
467,699,999,0,nonexistent,1.1,4.857,5191.0,no
468,358,999,0,nonexistent,1.1,4.857,5191.0,no
469,1677,999,0,nonexistent,1.1,4.857,5191.0,yes
470,529,999,0,nonexistent,1.1,4.857,5191.0,no
471,310,999,0,nonexistent,1.1,4.857,5191.0,no
472,47,999,0,nonexistent,1.1,4.857,5191.0,no
473,379,999,0,nonexistent,1.1,4.857,5191.0,no
474,30,999,0,nonexistent,1.1,4.857,5191.0,no
475,472,999,0,nonexistent,1.1,4.857,5191.0,no
476,113,999,0,nonexistent,1.1,4.857,5191.0,no
477,114,999,0,nonexistent,1.1,4.857,5191.0,no
478,116,999,0,nonexistent,1.1,4.857,5191.0,no
